,label,text,final_label,init_label,weak_label,m_init_label,explanation
0,0,"Bush Signs Into Law Debt Ceiling Increase &lt;p&gt;&lt;/p&gt;&lt;p&gt; WASHINGTON (Reuters) - President Bush on Friday signed intolaw a measure authorizing an \$800 billion increase in thecredit limit of the United States, the White House said.&lt;/p&gt;",Business,Business,2.0,2.0,"The text discusses a financial decision made by the U.S. government to increase the debt ceiling, which is directly related to economic and financial matters. The mention of an $800 billion increase in the credit limit of the United States aligns with topics such as economy, finance, and financial policies, which are key aspects of the 'Business' category."
1,0,"Italian Woman's Veil Stirs More Than Fashion Feud The case of a Muslim woman fined for wearing a veil has created a dispute involving politicians, civil rights groups and a fashion designer.",World,World,0.0,0.0,"The text discusses a situation involving a Muslim woman fined for wearing a veil, which has sparked a dispute involving politicians and civil rights groups. This aligns with the 'World' category as it involves international and political elements, such as civil rights and political discussions, which are key aspects of global and international news."
2,3,Playstation 3 to arrive spring 2006 In Japan NVIDIA HAS MADE A big noise about Playstation 3 deal but unfortunately you won #39;t see this console any time soon. Nvidia stock holders definitely know about Sony and its Playstation 3 killer business and therefore Nvidia is recovering on the stock market.,Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses the upcoming release of the Playstation 3, which is a technological product, and mentions Nvidia's involvement in the deal. It highlights aspects of technology and innovation, which align with the 'Sci/Tech' category. Additionally, the mention of Nvidia's stock market recovery ties into business aspects, but the primary focus is on the technological product and its impact."
3,0,"Mozambicans Vote for New President Mozambique #39;s poor, many carrying small children, trudged along narrow dirt roads in oppressive heat Wednesday to pick a replacement for the president who has ruled ",World,World,0.0,0.0,"The text discusses an election in Mozambique, focusing on the process of voting for a new president. This is related to international events and politics, which aligns with the 'World' category. The mention of citizens voting and the context of political leadership change further supports this classification."
4,1,"Croom, fans savor historic moment When Sylvester Croom met with 500 members of the Mississippi State Quarterback Club at the Starkville Country Club recently, he read a poem entitled:  quot;What is a Coach?",Sports,Sports,1.0,1.0,"The text mentions Sylvester Croom, who is associated with the Mississippi State Quarterback Club, indicating a connection to sports, specifically football. The context of meeting with fans and discussing a coach further supports the classification as 'Sports'."
5,1,"Rams Use Rejuvenated Running Game in Win (AP) AP - For at least one game, the pass-happy St. Louis Rams relied on the running game. A week after coming under heavy criticism for a game plan that featured 49 passes and just 15 runs in a 28-25 overtime loss at home against New Orleans, coach Mike Martz used the run early and often in a 24-14 win Sunday night at San Francisco, evening the Rams' record at 2-2.",Sports,Sports,1.0,1.0,"The text discusses a football game involving the St. Louis Rams, focusing on their strategy and performance. It mentions specific game details, such as the score, the team's record, and the coach's decisions, which are typical elements of sports reporting. Keywords like 'game', 'win', 'coach', and 'record' further indicate that this is related to sports."
6,3,"Odd couple: Schwartz and McNealy It hasn't even been eight months since Sun Microsystems promoted Jonathan Schwartz to be Chief Executive Scott McNealy's right-hand man, but the two are already acting like an old couple. Missing Links",Business,Business,2.0,2.0,"The text discusses the promotion of Jonathan Schwartz to a high-level executive position at Sun Microsystems, a company known for its technology products and services. The mention of executive roles and corporate dynamics aligns with the 'Business' category, which covers corporate activities and business strategies."
7,1,"Colombian golfer leads US Amateur qualifying MAMARONECK, NY (AP)  Oscar Alvarez of Colombia shot a 3-under-par 67 for the first-round lead at the US Amateur on Monday. Alvarez, a junior at BYU, had five birdies and two bogeys on the 6,775-yard East course at Winged Foot Golf Club, and was the ...",Sports,Sports,1.0,1.0,"The text discusses a golf competition, specifically the US Amateur, and highlights the performance of a golfer, Oscar Alvarez. It includes details about his score, birdies, and bogeys, which are typical elements of sports reporting. The focus on athletic performance and competition aligns with the 'Sports' category."
8,1,Loeb extends lead over Solberg CARDIFF -- Championship leader Sebastien Loeb took two stage wins to boost his lead over Norwegian Petter Solberg as the Rally of Britain entered its second leg on Saturday.,Sports,Sports,1.0,1.0,"The text discusses a competitive event, specifically the Rally of Britain, and mentions athletes Sebastien Loeb and Petter Solberg. It focuses on stage wins and the championship lead, which are typical elements of sports coverage. Keywords such as 'championship', 'stage wins', and 'Rally' align with the 'Sports' category."
9,3,AOL new browser combines Firefox with Explorer a version of the open-source Firefox but with support for Microsoft Internet Explorer tied-in. Explorer remains the ,Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses a new browser developed by AOL that combines features of Firefox and Internet Explorer. This relates to technological innovation and software development, which are key aspects of the 'Sci/Tech' category. The mention of open-source software and browser compatibility further supports this classification."
